num_steps, Estimaci¾n pi, Diferencia pi, Tiempo de ejecuci¾n
10000000,3.1415927,-0.0000001,0.0356717
20000000,3.1415927,-0.0000001,0.0767392
40000000,3.1415927,-0.0000001,0.1079724
80000000,3.1415927,-0.0000001,0.2203814
160000000,3.1415927,-0.0000001,0.4140103
320000000,3.1415927,-0.0000001,0.8351994
640000000,3.1415927,-0.0000001,1.6863077
1280000000,3.1415927,-0.0000001,3.3320959
2560000000,3.1415927,-0.0000001,6.6547599
5120000000,3.1415927,-0.0000001,13.3768700
