Samples, Estimación pi, Diferencia pi, Tiempo de ejecución
10000000,3.1409324,0.0006602,0.5880000
20000000,3.1415170,0.0000756,1.1530000
40000000,3.1412817,0.0003109,2.3240000
80000000,3.1414813,0.0001113,4.7110000
160000000,3.1415930,-0.0000004,9.3660000
320000000,3.1414953,0.0000973,18.6230000
640000000,3.1415275,0.0000651,37.5170000
1280000000,3.1415106,0.0000820,75.8140000
2560000000,3.1415399,0.0000527,148.8360000
5120000000,3.1415138,0.0000788,296.0010000
