num_steps, Estimación pi, Diferencia pi, Tiempo de ejecución
10000000,3.1415927,-0.0000001,0.0452762
20000000,3.1415927,-0.0000001,0.0886435
40000000,3.1415927,-0.0000001,0.1768156
80000000,3.1415927,-0.0000001,0.3529302
160000000,3.1415927,-0.0000001,0.7044331
320000000,3.1415927,-0.0000001,1.4104910
640000000,3.1415927,-0.0000001,2.8172005
1280000000,3.1415927,-0.0000001,5.6289272
2560000000,3.1415927,-0.0000001,11.2595768
5120000000,3.1415927,-0.0000001,22.5220451
