Samples, Estimación pi, Diferencia pi, Tiempo de ejecución
10000000,3.1414576,0.0001350,0.0644310
20000000,3.1415750,0.0000176,0.0901637
40000000,3.1414199,0.0001727,0.1746122
80000000,3.1417205,-0.0001279,0.3506073
160000000,3.1416635,-0.0000709,0.6994199
320000000,3.1416704,-0.0000777,1.3950101
640000000,3.1416913,-0.0000987,2.7910405
1280000000,3.1416443,-0.0000517,5.5819454
2560000000,3.1416264,-0.0000338,11.2124518
5120000000,3.1416124,-0.0000198,22.3360727
