Samples, Estimación pi, Diferencia pi, Tiempo de ejecución
10000000,3.1414800,0.0001126,0.0967396
20000000,3.1413958,0.0001968,0.1913848
40000000,3.1415732,0.0000194,0.3816113
80000000,3.1415579,0.0000347,0.7620157
160000000,3.1416502,-0.0000576,1.5220354
320000000,3.1416190,-0.0000264,3.0424475
640000000,3.1416382,-0.0000456,6.0939956
1280000000,3.1415847,0.0000079,12.2006763
2560000000,3.1415801,0.0000125,24.3942399
5120000000,3.1415849,0.0000077,48.8295170
