Samples, Estimación pi, Diferencia pi, Tiempo de ejecución
10000000,3.1411300,0.0004626,0.3504533
20000000,3.1412556,0.0003370,0.6995039
40000000,3.1413992,0.0001934,1.3977156
80000000,3.1415886,0.0000040,2.7949972
160000000,3.1416069,-0.0000143,5.5859255
320000000,3.1416015,-0.0000089,11.1726554
640000000,3.1415626,0.0000300,22.3443601
1280000000,3.1416141,-0.0000215,44.6413775
2560000000,3.1415690,0.0000236,89.3155362
5120000000,3.1415996,-0.0000070,178.6026982
